OrganizationUUID,Organization,Address,City,State,Country,State,Zip,Latitude,Longitude,Website,Email,Phone
85da5ac3-153c-4226-b16e-a26940788b00,National Geospatial-Intelligence Agency (NGA),,Springfield,"Fort Belvoir, VA, USA",United States,"Fort Belvoir, VA, USA",20318-02701,38.7171,-77.1546,LunarLanding.net,6h3v9ywl@gmail.com,+1 571-557-5400
47f8186c-24e9-4a08-8e54-58ae7d35f33e,Joint Staff (JCS),,Arlington,"The Pentagon, Arlington, VA, USA",United States,"The Pentagon, Arlington, VA, USA",20301-14001,38.8719,-77.0563,MysticMountain.org,3k8y2l0r@yahoo.com,+1 703-545-6700
dca23b8a-7aea-4bc5-b8c3-777f6da2e333,Office of the Secretary of Defense (OSD),,Arlington,"The Pentagon, Arlington, VA, USA",United States,"The Pentagon, Arlington, VA, USA",20301-14001,38.8719,-77.0563,NovaNetwork.io,gjarex8c@example.com,+1 703-571-3343
2ad9259a-5e78-4029-8d0f-9fefcdf64463,Chief Information Officer (CIO),,Arlington,"The Pentagon, Arlington, VA, USA",United States,"The Pentagon, Arlington, VA, USA",22202-54081,38.8719,-77.0563,OrbitOasis.biz,t3ngrlon@outlook.com,+1 703-571-3343
9511868c-5f29-4805-aa12-76c7a2aa4a2d,Defense Security Cooperation Agency (DSCA),,Arlington,"The Pentagon, Arlington, VA, USA",United States,"The Pentagon, Arlington, VA, USA",20523-10001,38.8719,-77.0563,PixelPond.com,7q6ya104@example.com,+1 703-697-9709
a64bd3ad-caa8-44c1-b14e-c5bbaef0c1ef,United States Agency for International Development (USAID),,"Washington, D.C.","Ronald Reagan Building, DC, USA",United States,"Ronald Reagan Building, DC, USA",100171,38.8944,-77.0288,QuantumQuest.net,1rh04ub9@outlook.com,+1 202-712-4810
8ce14468-05d3-4c97-8300-ea1d32e08b24,United Nations Office for the Coordination of Humanitarian Affairs (OCHA),,New York,"New York City, NY, USA",United States,"New York City, NY, USA",12021,40.7505,-73.9934,RetroRealm.org,qyqtfiyi@outlook.com,+1 212-963-1234
921f703d-c23a-4eb4-a90a-2e2f20375757,International Committee of the Red Cross (ICRC),,Geneva,"Geneva, Switzerland",United States,"Geneva, Switzerland",20310-02001,46.2044,6.1432,SolarSpectrum.io,trfijo67@outlook.com,+41 22 734 60 01
737862a2-c595-4471-99bb-360527df8759,Non-Governmental Organizations (NGOs),,Various,Various,United States,Various,20330-10001,N/A,N/A,TerraTech.biz,yt3buknp@example.com,N/A
be15cb11-cdcc-49a5-ae63-5093e10923d5,United States Army,,Arlington,"The Pentagon, Arlington, VA, USA",United States,"The Pentagon, Arlington, VA, USA",20350-12001,38.8719,-77.0563,UltraUniverse.com,umwv0rwu@gmail.com,+1 703-545-6700
b6a95f71-0eb9-4b61-9526-0a87d498cb60,United States Air Force,,Arlington,"The Pentagon, Arlington, VA, USA",United States,"The Pentagon, Arlington, VA, USA",20380-17751,38.8719,-77.0563,VistaVoyage.net,b732en04@yahoo.com,+1 703-545-6700
6b90a823-2cc5-4ca8-bc08-c29802f8f504,United States Navy,,Arlington,"The Pentagon, Arlington, VA, USA",United States,"The Pentagon, Arlington, VA, USA",20330-10001,38.8719,-77.0563,WildWave.org,7fm51gdc@outlook.com,+1 703-545-6700
4ad8e2df-871b-4f6d-9f94-c15379f3c58f,United States Marine Corps,,Arlington,"The Pentagon, Arlington, VA, USA",United States,"The Pentagon, Arlington, VA, USA",20380-17751,38.8719,-77.0563,XenoXpress.io,gl70xbvn@example.com,+1 703-545-6700
6ccb681f-9ac1-44cb-8aac-40dd5e34f354,United States Space Force,,Arlington,"The Pentagon, Arlington, VA, USA",United States,"The Pentagon, Arlington, VA, USA",20330-10001,38.8719,-77.0563,YieldYard.biz,uezrb7uc@outlook.com,+1 703-545-6700
