OrganizationUUID,Organization,Address,City,State,Country,Zip,Latitude,Longitude,Website,Email,Phone
0a638065-6e1c-486f-9850-60ece4b909b2,Iraq Body Count,"4-8, Southwark Street, London, SE1 1UN, UK",Amsterdam,North Holland,Netherlands,1011 AC,51.5074,-0.1278,iraqbodycount.org,info@iraqbodycount.org,(830) 700-2015
2e14fb1e-63fd-459e-8efd-2aa0c405cdf6,Isha Human Rights Organisation (IHRO),"Hyderabad, India",Manchester,England,United Kingdom,M1 1AA,17.385,78.4867,ishahr.org,info@ishahr.org,(548) 690-9034
6e517d15-b6ef-48cb-a032-bbd5165f633a,Kalkal Human Rights Development Organization (KAHRDO),"Mogadishu, Somalia",Lahore,Punjab,Pakistan,54000,2.0469,45.3182,kahrdo.org,info@kahrdo.org,(804) 737-6234
2f6dc32f-6e1d-4658-9d86-f3ee2c2f9bff,NAMRIGHTS,"Windhoek, Namibia",Karachi,Sindh,Pakistan,74000,-22.5595,17.0832,namrights.org,info@namrights.org,(215) 509-1420
424c28d6-faad-4879-8ba4-304036328b45,Nigeria Watch,"Ibadan, Nigeria",Ramallah,West Bank,Palestinian Territories,970,7.3775,3.947,nigeriawatch.org,info@nigeriawatch.org,(607) 240-7362
1ad31a0e-0ff4-4d22-a487-4598341b7b14,Nuestra Aparente Rendici?n,"Mexico City, Mexico",Houston,Texas,United States,77001,19.4326,-99.1332,nuestraaparenterendicion.org,info@nuestraaparenterendicion.org,(570) 453-3803
be5de52d-7076-415c-a893-6d2f999bc5d2,OMERIA Community Development Organisation (OCDO),"Mogadishu, Somalia",Lima,Lima,Peru,15001,2.0469,45.3182,omeriacdo.org,info@omeriacdo.org,(678) 879-4072
939d8dcd-13c2-465b-a866-00f54df9ea90,Pak Institute for Peace Studies,"F-6/3, Islamabad, Pakistan",Miami,Florida,United States,33101,33.6844,73.0479,pips.gov.pk,info@pips.gov.pk,(202) 318-0496
66f2801e-4326-4ec3-9e69-a05902837757,Pakistan Body Count,"Karachi, Pakistan",Sarajevo,Sarajevo,Bosnia and Herzegovina,71000,24.8607,67.0011,pakistanbodycount.org,info@pakistanbodycount.org,(325) 849-0341
26ef31b1-1aa1-4532-919c-d98353abb78a,Palestinian Centre for Human Rights (PCHR),"Gaza City, Palestine",Gaza City,Gaza Strip,Palestinian Territories,972,31.5018,34.4663,pchr.org,info@pchr.org,(972) 235-7180
4c5ce543-6634-4191-93c6-5de8b98acdfc,PEARL ? People for Equality and Relief in Lanka,"2401 Pennsylvania Avenue NW, Suite 300, Washington, D.C., 20037, USA",Colombo,Colombo,Sri Lanka,100,38.9047,-77.0417,pearl-lanka.org,info@pearl-lanka.org,(651) 685-9781
506c4f9b-f0f8-4a3c-b0e8-616dbe68780a,Peruvian Forensic Anthropology Team (EPAF),"Av. Pardo 610, Miraflores 18, Lima, Peru",Cusco,Cusco,Peru,8000,-12.0464,-77.0428,epaf.org.pe,info@epaf.org.pe,(757) 518-6704
2ae714ad-373b-4cc9-858b-273722fff7bc,Remembering The Ones We Lost,"Juba, South Sudan",Chicago,Illinois,United States,60601,4.8594,31.5713,rememberingtheoneswelost.org,info@rememberingtheoneswelost.org,(814) 662-7738
ffe80bf0-458b-47eb-9ec5-7a601e07d065,Research and Documentation Center of Sarajevo,"Bistrik 16, 71000 Sarajevo, Bosnia and Herzegovina",Banja Luka,Banja Luka,Bosnia and Herzegovina ,78000,43.8563,18.4131,rdc.org.ba,info@rdc.org.ba,(404) 561-3401
31602bb0-2f78-4351-815c-207ae25652ee,Somali Action for Human Rights Organization (SAHRO),"Mogadishu, Somalia",Hargeisa,Somaliland,Somalia,25200,2.0469,45.3182,sahro.org,info@sahro.org,(412) 344-3026
b5f405ed-ba1d-4f6d-9df4-6d286a0d2775,Somali Awareness and Social Development Organization (SASDO),"Mogadishu, Somalia",Kismayo,Jubaland,Somalia,40000,2.0469,45.3182,sasdo.org,info@sasdo.org,(281) 225-6052
08f90688-c383-4c57-8be8-d53a43d48669,Somali Human Rights Association (SOHRA),"Mogadishu, Somalia",Dhusamareb,Galmudug,Somalia,75000,2.0469,45.3182,sohra.org,info@sohra.org,(603) 225-1957
36992181-dd0b-4077-8fa8-f66c69731774,Sudanese American Physicians Association (SAPA),"2020 Pennsylvania Avenue NW, Suite 500, Washington, D.C., 20006, USA",Khartoum,Khartoum,Sudan,11111,38.9047,-77.0417,sapa.org,info@sapa.org,(509) 499-2784
61c15b95-68be-4d49-8e3a-61532bd909e2,Surbana Life,"Nairobi, Kenya",N/A,N/A,Not enough information,N/A,-1.2864,36.8172,surbanalife.org,info@surbanalife.org,(727) 479-7104
c2bc24f2-d98e-45fc-b964-c2d1951479fd,Syria Justice and Accountability Centre,"1200 18th Street NW, Suite 1000, Washington, D.C., 20036, USA",Aleppo,Aleppo,Syria,21000,38.9047,-77.0417,sjac.org,info@sjac.org,(803) 529-9408
2e0516fe-f082-43a0-b41f-5f11f201b8ac,Syrian Network for Human Rights,"Doha, Qatar",Homs,Homs,Syria,30000,25.276,51.52,snhr.org,info@snhr.org,(605) 791-9203
124c28d6-faad-4829-8ba4-304036328b45,The Human Rights Center,"220 Boalt Hall, Berkeley, CA 94720-7200, USA",N/A,N/A,Not enough information,N/A,37.8715,-122.273,humanrightscenter.org,info@humanrightscenter.org,(334) 336-1249
7ad31a0e-0fd4-4d22-a487-4598341b7b14,The Institute for Conflict Management,"7/35, Jangpura B, New Delhi, Delhi 110014, India",N/A,N/A,Not enough information,N/A,28.6139,77.209,icm.org.in,info@icm.org.in,(740) 349-2518
ee5ee52d-7076-415c-a893-6d2f999bc5d2,The Organization for Justice and Accountability on the Horn of Africa (OJAH),"Nairobi, Kenya",N/A,N/A,Horn of Africa region,N/A,-1.2864,36.8172,ojah.org,info@ojah.org,(931) 249-7501
732d8dcd-13c2-465b-a866-00f54df9ea90,Third World Studies Center (TWSC),"Diliman, Quezon City, Philippines",N/A,N/A,Not enough information,N/A,14.676,121.0437,twsc.upd.edu.ph,info@twsc.upd.edu.ph,(860) 516-6602
56f2801e-4326-4ec3-9e69-a05902837757,Ukraine Memorial Platform,"Kyiv, Ukraine",Kyiv,Kyiv,Ukraine,1001,50.4501,30.5234,ukrainememorial.org,info@ukrainememorial.org,(308) 566-9302
06ef31b1-1aa1-4532-919c-d98353abb78a,Ukrainian Helsinki Human Rights Union,"Kyiv, Ukraine",Lviv,Lviv,Ukraine,79000,50.4501,30.5234,helsinki.org.ua,info@helsinki.org.ua,(727) 479-7104
1c5ce543-6634-4191-93c6-5de8b98acdfc,"University Research Institute on Democracy, Peace and Security (IUDPAS)","Avenida La Paz, Tegucigalpa, Honduras",N/A,N/A,Not enough information,N/A,14.0818,-87.2068,iudpashonduras.org,info@iudpashonduras.org,(803) 529-9408
306c4f9b-f0f8-4a3c-b0e8-616dbe68780a,Violation Documentation Center (VDC),"Istanbul, Turkey",Latakia,Latakia,Syria,40000,41.0082,28.9784,vdc.org.tr,info@vdc.org.tr,(605) 791-9203
1ae714ad-373b-4cc9-858b-273722fff7bc,Yemen Data Project,"Sana'a, Yemen",Sana?a,Sana?a,Yemen,10001,15.3694,44.191,yemendataproject.org,info@yemendataproject.org,(334) 336-1249
